com.fytech.ps1300,1.0.0,
com.ggimage.ggimage-printer,1.0.3-1+uos,
com.gmrz.fido,1.0.3.2,
com.goke.gksecurity,2.0.3,
com.greatwalltech.greatwall-sane,20240918-7.6.10.051,
com.gwi.dpm760a-tool,1.0.0,
com.haitaichina.htukeytool20079,1.0.0.2404081,
com.hanguang.hgfchanguangprinter,1-1,
com.hanguang.hgfcscanner,1-1,
com.hanlongbj.omniscan,1,
com.hanwang.linuxaction-sdk,2.1.53.22043-uosv20,
com.hsreader.demo,1.1.0,
com.huagaochina.huagoscan,2.2.3-1+rc4,
com-huashuoaf-finger,1.0.0.3,
com.huawei.cv81-series,2.0-88,
com.hw99.hanvon-sane,20230206-9.6.10.053,
com.hw.signdriver,1.0.0,
com.jetbrains.irisking,2021.01.20-1,
com.joyusing.gwq,1.0.0,
com.joyusing.visualizer,1.0.0,
com.joyusing.w05,1.0.0,
com.joyusing.writingpad,1.0.0,
com.kinghun.kinghuncamera,1.0.0,
com.lanxum.ga2630dn-psm-2in1,1.0.0-20301,
com.lanxum.ga30-psm-2in1,1.0.0-21032,
com.lanxum.ga7030dn-psm-2in1,1.0.0-21034,
com.lanxum.gasd06.printerdriver,1.0.0-5+0,
com.lanxum-ga-series,1.0.1,
com.lanxum.gd34xxdn,3.3.0,
com.lanxum.linuxaction,2.1.91.24084-uosv20,
com.lanxum.printdevicemanager,2.0.0-2+0,
com.lanxum.rongtuscan,2.0.9,
com.lanxum.sp1800-1-driver,1.1.0,
com.lanxum.sp1800-1-tool,1.1.0,
com.lenovo.lenovo-gpy,2.1.7.3,
com.microtek.scaner,1.0.0-9c,
com.mindeo.scannertext,1.2.2.4,
com.mt.cnlinux,1.0.0.3,
com.mt.cnsscard,1.0.0.4,
com.nantian.bpport,1.0.0.20210910,
com.nantian.clientscreen,1.0.2.02261802,
com.nantian.mmjp,1.0.0.20210312,
com.nbdeli.camera,,
com.nbdeli.deli-sane,20240820-5.7.10.027,
com.ncmem.down2,2020.12.3-1,
com.ncmem.up6,2020.12.3-1,
com.ncmem.wordpaster,2020.12.3-1,
com.neutralchina.neuscan,4.52.26520.24289,
com.pantum.pantum-235-325-2165,1.0.0ab02-1+uos,
com.pantum.pantum,7.4.182-1+uos,
com.pantum.pantumprint,1.1.24-1+uos,
com.pantum.pantum-scan-assistant,3.0.1,
compiz-boxmenu,1.1.12-7build2,
compizconfig-settings-manager,0.9.14.2+22.10.20220822-0ubuntu12,
compiz-core,0.9.14.2+22.10.20220822-0ubuntu12,
com.plustek.linuxaction,3.0.3.22342-uosv20,
comptext,1.0.1-6build2,
compton,1-3,
compton-conf,0.16.0-1ubuntu3,
comptty,1.0.1-5build2,
com.racertech.usbdisp,1.0.0-1,
com.ricoh.pfu.fsane,4.0.1-1
com.ricoh.universalscan,,
com.rightcolor,1.0.7,
com.scanner.hanguang,1.0-1,
com.semxum.aisystem,1.0.0-2+b1,
com.shensi.websocket,1.58,
com.sogou.ime.ng.fcitx5.deepin,10.0.9.0.8-981,
com.sunrise.demo,2.2.2
com.sunrise.device,2020.09.15-1,
com.sxylzinfo.sxsscardsv,3.5.15,
com.szshenshu.aidemo,2022.01.11-1,
com.tdr.uosicbc,9.0.6-5,
com.tg.aqdl,4.1.0.1,
com.toec.oem3000dn,2.6-4,
com.toec.toeca3oemseries,1.0,
com.toec.toeca3series,2.5-7.1,
com.toec.toeca4faxseries,2.6-4.1,
com.toec.toeca4printer,1.0-18.2,
com.toec.toeca4series,2.7-3,
com.toec.toecmyseries,3.0.0.11,
com.toec.toecrlseries,1.1-7,
com.toec.toecrlwseries,1.1-1,
com.toec.toecscanner,2.6-4,
com.tr.gpyapp,1.0.0.2,
com.utel.uboxweb,1.0.0.10,
com.wendouscanner,1.1,
com.winmage.winmage-sane,20240911-4.6.10.053,
com.winuim.wmr06,1.0.0.4-1,
com.wsd.gpy,1.0.26,
com.yjcloud.asr.agent,5.0.0,
com.za.ld8800,3.0.1.2,
com.za.zaz301,3.0.1.2,
com.zebra.jaguardriver,1.0.0.0,
com.zhiankeji.hs108,1.0.1-1,
com.zhiankeji.hs110,1.0.1-1,
com.ztsave.ztfinger,1.0.0-1,
confclerk,0.7.1-1build2,
configure-debian,1.0.3+nmu3,
confy,0.7.0-1,
congruity,21-1,
conky-all,1.21.1-1,
conky-cli,1.21.1-1,
conky-std,1.21.1-1,
connectagram,1.3.5-2build1,
connectome-workbench,1.5.0-2build2,
connman-gtk,1.1.1+git20180626.b72c6ab-3build2,
content-hub,1.1.1-1build5,
content-hub-testability,1.1.1-1build5,
converseen,0.12.1.0-1build2,
convertall,0.8.0-2,
cool-retro-term,1.2.0+ds2-2build2,
copyq,7.1.0-1build2,
coqide,8.18.0+dfsg-1build2,
corectrl,1.3.11+ds-1build1,
corsix-th,0.67-1,
cppcheck-gui,2.13.0-2ubuntu3,
cpupower-gui,0.7.2-2.1ubuntu2,
cpu-x,5.0.3-2build2,
cqrlog,2.5.2-3ubuntu2,
crack-attack,1.1.14-9.2build2,
crawl,0.28.0-1.1,
crawl-tiles,0.28.0-1.1,
cream,0.43-3.1,
crimson,0.5.2-1.1build2,
crispy-doom,6.0-2build2,
criticalmass,1.0.2-4build3,
critterding,1.0-beta12.1-1.3build1,
cronometer,0.9.9+dfsg1-1,
crossfire-client,1.75.0-2build4,
crow-translate,2.11.1+git20240108+ds-1build2,
crrcsim,0.9.13-3.2build2,
crystal-facet-uml,1.55.3-1build2,
csoundqt,1.1.1+dfsg0-1build2,
ctsim,6.0.2-6build3,
cube2-data,1.3-1,
cubicsdr,0.2.7+dfsg-2build3,
cultivation,9+dfsg1-2build5,
curtain,0.3-1.1build3,
cutecom,0.51.0-1build2,
cutemaze,1.3.2-1build2,
cutesdr,1.20-4build2,
cuyo,2.1.0-1build1,
cycle,0.3.3-1,
cyclograph-gtk3,1.9.1-1.2,
cyclograph-qt5,1.9.1-1.2,
cynthiune.app,1.0.0-2build9,
cytadela,1.1.0-4build1,
d1x-rebirth,0.58.1-1.2,
d2x-rebirth,0.58.1-1.3,
daisy-player,13.0-4build2,
dangen,0.5-7,
danmaq,0.2.3.2-2build2,
darkradiant,3.8.0-2build4,
darktable,4.6.1-2ubuntu1,
darnwdl,0.8-1build1,
dascom-d300c-driver,,
dascom-d300kp-driver,,
dascom-d300rw-driver,,
dascom-r600-driver,,
dasher,5.0.0~beta~repack2-4build3,
davegnukem,1.0.3-4,
davmail,6.2.1.3496-1,
dawg,1.2-4,
dclock,2.2.2-14build2,
dconf-editor,45.0.1-1build2,
ddcui,0.3.0-1build3,
ddd,3.3.12-5.4build2,
dde-calendar,5.14.7,
dde-control-center,6.0.75+deepin0+rb1,
dde-cooperation,1.0.2-1,
dde-desktop,6.5.10.4,
dde-device-formatter,0.0.1.16,
dde-file-manager,6.5.10.4,
dde-introduction,7.0.9,
dde-printer,1.0.25-1+1060,
dde-session-shell,6.0.23,
dde-store,1.2.5-1build2,
ddnet,16.4-1.2build5,
ddrescueview,0.4.5-2,
deb-gview,0.3.7build2,
debian-installer-launcher,41,
debian-reference-common,2.122,
deepin-album,5.10.25,
deepin-app-store,8.0.7.0010,
deepin-boot-maker,5.7.10,
deepin-calculator,6.0.1,
deepin-camera,6.5.5,
deepin-compatibility-mode,0.1.2,
deepin-compressor,6.0.2,
deepin-data-transfer,1.0.2-1,
deepin-deb-installer,6.5.0,
deepin-devicemanager,6.0.28,
deepin-diskmanager,1.4.1,
deepin-distrobox-ubuntu,0,
deepin-draw,7.0.4,
deepin-editor,6.5.7,
deepin-feedback,6.0.0,
deepin-font-manager,6.5.3,
deepin-home,1.6.3,
deepin-image-viewer,5.9.20,
deepin-log-viewer,6.5.2,
deepin-mail,6.4.10,
deepin-manual,6.5.6.1,
deepin-movie,6.0.13-1,
deepin-music,6.2.40,
deepin-ocr,1.1.2,
deepin-picker,6.0.1,
deepin-reader,6.5.2,
deepin-screen-recorder,6.0.9+deepin0+rb1,
deepin-system-monitor,6.5.2,
deepin-system-upgrade,6.0.3,
deepin-terminal,6.0.16,
deepin-unioncode,1.4.8-1,
deepin-voice-note,6.0.17,
deja-dup,45.2-1build2,
deli-printer-a111,1.1.022,
dell-recovery,1.66,
deluge-gtk,2.1.2~dev0+20240121-1,
denemo,2.6.18-1build3,
desktopfolder,1.1.3-3build2,
devede,4.17.0-1,
developers-reference,13.4,
devhelp,43.0-4build3,
dfcgen-gtk,0.6-2build2,
d-feet,0.3.16-3,
dgedit,0.10.0-2build3,
dhelp,0.6.30,
dhewm3-d3xp,1.5.2+dfsg-1build2,
dhewm3-doom3,1.5.2+dfsg-1build2,
dia,0.98+git20240130-1build4,
dialect,2.1.1+~2.1.1-1,
dianara,1.4.4-1build2,
dictionaryreader.app,0+20080616+dfsg-2.1build1,
diffpdf,2.1.3.1-2build3,
diffuse,0.8.2-1ubuntu1.1,
digikam,8.2.0-0ubuntu6.2,
dillo,3.0.5-7build5,
din,58.1+ds-1,
ding,1.9-7,
dino-im,0.4.3-3,
diodon,1.13.0-1build2,
direwolf,1.7+dfsg-2build2,
displaycal,3.9.11-2ubuntu0.24.04.1,
distccmon-gnome,3.4+really3.4-4deepin1,
djview4,4.12-3build3,
dkopp,6.5-2build2,
dlt-viewer,2.25.0+dfsg-2build3,
dochelp,0.1.8,
DocScan,,
dodgindiamond2,0.2.2-4,
dolphin,23.08.5-0ubuntu4,
domino-chain,1.1-3build3,
doomsday,2.3.1+ds1-1build3,
doomsday-server,2.3.1+ds1-1build3,
dopewars,1.6.2-1build4,
dosbox,0.74-3-5build2,
dosbox-x,2024.03.01+dfsg-1build2,
dossizola,1.0-12,
doublecmd-common,1.1.11-1build1,
dozzaqueux,3.51-4,
dpkg-www,2.65,
dragonplayer,23.08.5-0ubuntu3,
drascula,1.0+ds4-2,
drascula-french,1.0+ds4-2,
drascula-german,1.0+ds4-2,
drascula-italian,1.0+ds4-2,
drascula-spanish,1.0+ds4-2,
drawing,1.0.2-1build1,
drawxtl,5.5-6.1build2,
dreamchess,0.3.0-2,
driftnet,1.5.0-0.2build3,
drkonqi,5.27.11-0ubuntu3,
drumkv1,0.9.34-1build3,
drumstick-tools,2.9.0-1.1build2,
dsda-doom,0.27.5+dfsg-1build2,
dspdfviewer,1.15.1-1.1build5,
d-spy,1.10.0-1build1,
dummyapp-wpsoffice,1.0.2,
dupeguru,4.3.1-4build1,
dustracing2d,2.1.1-2build2,
dvb-apps,1.1.1+rev1500-1.4build3,
dvbcut,0.7.4-1build4,
dvorak7min,1.6.1+repack-4,
dwarf-fortress,0.47.04+dfsg1-1build3,
dwww,1.16,
dx,4.4.4-15.1build2,
dxf2gcode,20191025-2,
dyssol-gui,1.1.1+ds1-2.1build4,
eartag,0.6.0-1,
easychem,0.6-9build2,
easyeffects,7.1.7-1,
easyssh,1.7.9-4build2,
easytag,2.4.3-5build3,
ebook2cwgui,0.1.2-7build3,
ebook-speaker,6.2.0-5build2,
ebumeter,0.5.1-1build2,
edb-debugger,1.3.0-2.1deepin0,
edenmath.app,1.1.1a-8build5,
edfbrowser,2.06+dfsg-1build2,
edgar,1.37-1build2,
edubuntu-docs,11.03.3,
edubuntu-installer,0.6,
edubuntu-menu,24.04.2.2,
eekboek-gui,2.04-1build1,
efte,1.1-4,
eiciel,0.10.0-1build2,
einstein,2.0.dfsg.2-10build1,
eiskaltdcpp-gtk,2.4.2-1.1build6,
eiskaltdcpp-qt,2.4.2-1.1build6,
eiskaltdcpp-web,1.0.1-2,
electric,9.07+dfsg-7,
elektroid,3.0.1-2build1,
elisa,23.08.5-0ubuntu3,
elki,0.7.1-10.1,
emacs-common,29.3+1-1ubuntu2,
emacs-gtk,29.3+1-1ubuntu2,
emacs-lucid,29.3+1-1ubuntu2,
emacs-pgtk,29.3+1-1ubuntu2,
email-reminder,0.8.3-1,
