gpicview,0.2.5-deepin1,deepin-v23,,
gprename,20210415-1,deepin-v23,,
gprompter,0.9.1-2.2-deepin1+rb1,deepin-v23,,
gpsd-clients,3.25-2deepin3,deepin-v23,,
gpy,1.0.2.20210607,deepin-v23,,
granatier,21.08.0-1,deepin-v23,,
grandprinter-mfp,1.0.0-22041,deepin-v23,,
granite-demo,6.1.2-1,deepin-v23,,
groovy,2.4.21-1,deepin-v23,,
grsync,1.3.0-1,deepin-v23,,
grub-customizer,5.2.3-1deepin0,deepin-v23,,
gtk-3-examples,3.24.41-1deepin3,deepin-v23,,
gtk-4-examples,4.12.3+ds-1deepin1,deepin-v23,,
gtk-vector-screenshot,0.3.3-1,deepin-v23,,
gucharmap,15.1.5-1,deepin-v23,,
gufw,20.04.1-2,deepin-v23,,
guvcview,2.0.8-1+rb2,deepin-v23,,
gwaei,3.6.2-9,deepin-v23,,
hexchat,2.16.1-1,deepin-v23,,
hoteldruid,3.0.3-1,deepin-v23,,
hotspot,1.3.0-2,deepin-v23,,
hplip-gui,3.22.10+dfsg0-5deepin2,deepin-v23,,
hsqldb-utils,2.6.1-1,deepin-v23,,
htmldoc,1.9.13-1,deepin-v23,,
htop,3.2.2-2,deepin-v23,,
huawei-pixlab-series,1.0-71,deepin-v23,,
hwloc,2.11.0-2,deepin-v23,,
iagno,3.38.1-2,deepin-v23,,
ibus,1.5.29~rc1-1,deepin-v23,,
ibus-cangjie,2.4-7,deepin-v23,,
ibus-chewing,1.6.1-2,deepin-v23,,
ibus-pinyin,1.5.0-11,deepin-v23,,
ibus-table,1.14.1-1,deepin-v23,,
ibus-unikey,0.7.0~beta1-1deepin0,deepin-v23,,
icecc-monitor,3.3-2,deepin-v23,,
id-fingerprint-scanner,1.7,deepin-v23,,
idle,3.12.1-1deepin1,deepin-v23,,
idle-python2.7,2.7.18.1-1+deepin,deepin-v23,,
idle-python3.11,3.11.8-1,deepin-v23,,
idle-python3.12,3.12.4-0deepin1,deepin-v23,,
im-config,0.57-2deepin2,deepin-v23,,
imagemagick-6.q16,6.9.13.12+dfsg1-1deepin1,deepin-v23,,
imagemagick-6.q16hdri,6.9.13.12+dfsg1-1deepin1,deepin-v23,,
imagination,3.6-1,deepin-v23,,
info,7.1-2deepin1,deepin-v23,,
inkscape,1.2.2-4,deepin-v23,,
isag,12.7.5-2,deepin-v23,,
juk,21.08.0-1deepin0,deepin-v23,,
jupyter-notebook,6.4.12-2.2,deepin-v23,,
kalgebra,21.08.0-1,deepin-v23,,
kalgebramobile,21.08.0-1,deepin-v23,,
kalzium,21.08.0-1deepin0,deepin-v23,,
kanagram,21.08.0-1,deepin-v23,,
kapman,21.08.0-1,deepin-v23,,
kapptemplate,21.08.0-1,deepin-v23,,
kasumi,2.5-10deepin0,deepin-v23,,
kate,21.08.2-1deepin0,deepin-v23,,
katomic,21.08.0-1,deepin-v23,,
kblackbox,21.08.0-1,deepin-v23,,
kblocks,21.08.0-1,deepin-v23,,
kbounce,21.08.0-1,deepin-v23,,
kbreakout,21.08.0-1,deepin-v23,,
kbruch,21.08.0-1,deepin-v23,,
kcachegrind,21.08.0-1,deepin-v23,,
kcalc,21.08.0-1,deepin-v23,,
kcharselect,21.08.0-1,deepin-v23,,
kcolorchooser,21.08.0-1deepin0,deepin-v23,,
kded5,5.103.0-1,deepin-v23,,
kdf,21.08.0-1,deepin-v23,,
kdiamond,21.08.0-1,deepin-v23,,
kdiff3,1.10.7-1,deepin-v23,,
keditbookmarks,21.08.0-1,deepin-v23,,
kernelshark,2.9.3+really2.3.1-2,deepin-v23,,
kfind,21.08.0-1,deepin-v23,,
kfourinline,21.08.0-1,deepin-v23,,
kgeography,21.08.0-1,deepin-v23,,
kgoldrunner,21.08.0-1,deepin-v23,,
kgpg,21.08.0-deepin1,deepin-v23,,
khelpcenter,21.08.0-1deepin0,deepin-v23,,
kig,21.08.0-1+rb3,deepin-v23,,
kigo,21.08.0-1,deepin-v23,,
kimagemapeditor,21.08.0-1deepin0,deepin-v23,,
kio,5.103.0-1deepin0,deepin-v23,,
kiriki,21.08.0-1,deepin-v23,,
kiten,21.08.0-1deepin0,deepin-v23,,
kitty,0.35.2-1,deepin-v23,,
kjumpingcube,21.08.0-1,deepin-v23,,
kleopatra,21.08.1-2deepin0,deepin-v23,,
klettres,21.08.0-1,deepin-v23,,
klickety,21.08.0-1,deepin-v23,,
klines,21.08.0-1,deepin-v23,,
kmag,21.08.0-1,deepin-v23,,
kmahjongg,21.08.3-1,deepin-v23,,
kmines,21.08.0-1,deepin-v23,,
kmix,21.08.3-1deepin0,deepin-v23,,
kmousetool,21.08.0-1deepin0,deepin-v23,,
kmouth,21.08.0-1,deepin-v23,,
kmplot,21.08.0-1,deepin-v23,,
knavalbattle,21.08.0-1,deepin-v23,,
kollision,21.08.0-1,deepin-v23,,
kolourpaint,21.08.2-1,deepin-v23,,
kompare,21.08.0-1,deepin-v23,,
konquest,21.08.0-1,deepin-v23,,
konsole,21.08.2-1,deepin-v23,,
kontrast,21.08.0-1,deepin-v23,,
kpat,21.08.0-1,deepin-v23,,
krdc,21.08.0-2,deepin-v23,,
krfb,23.8.2-deepin,deepin-v23,,
kruler,22.12.3-1,deepin-v23,,
kshisen,21.08.0-1,deepin-v23,,
ksnakeduel,21.08.0-1,deepin-v23,,
kspaceduel,21.08.0-1,deepin-v23,,
ksquares,21.08.0-1,deepin-v23,,
ksystemlog,21.08.0-1,deepin-v23,,
kteatime,21.08.0-1,deepin-v23,,
ktimer,21.08.0-1,deepin-v23,,
ktouch,21.08.0-1,deepin-v23,,
ktservice-driver-kaer,1.0.28,deepin-v23,,
kturtle,21.08.0-1deepin0,deepin-v23,,
kuiviewer,22.12.3-1,deepin-v23,,
kuserfeedback-bin,1.0.0-3deepin1+rb4,deepin-v23,,
kwalletmanager,21.08.0-1,deepin-v23,,
kwrite,21.08.2-1deepin0,deepin-v23,,
kyodialog,9.4-0,deepin-v23,,
lanxum-ga2820dn,1.0,deepin-v23,,
lanxum-sane-backend,20200707-2.6.8.020,deepin-v23,,
lanxum-touchscreen,1.0.2-2020.05.27,deepin-v23,,
laptop-mode-tools,1.74-1.1,deepin-v23,,
lenovo-100-m1520-m1688-series,1.0-43,deepin-v23,,
lenovo-image-g-series,1.0-17,deepin-v23,,
lenovo-image-lj23-series,1.0-16deepin0,deepin-v23,,
lenovo-printer-driver,1.51-230329,deepin-v23,,
lenovo-sane-backend,0.1.0-21166,deepin-v23,,
lenovo-spx251-321-series,1.5.7-2,deepin-v23,,
lftp,4.9.2-1,deepin-v23,,
libadwaita-1-examples,1.5.0-1deepin1+rb1,deepin-v23,,
